steps,date,interval,Day of Week,weekday or weekend
0,2012-10-01T00:00:00Z,305,Monday,weekday
0,2012-10-01T00:00:00Z,310,Monday,weekday
0,2012-10-01T00:00:00Z,315,Monday,weekday
0,2012-10-01T00:00:00Z,320,Monday,weekday
0,2012-10-01T00:00:00Z,325,Monday,weekday
0,2012-10-01T00:00:00Z,330,Monday,weekday
0,2012-10-01T00:00:00Z,335,Monday,weekday
0,2012-10-01T00:00:00Z,340,Monday,weekday
0,2012-10-01T00:00:00Z,345,Monday,weekday
0,2012-10-01T00:00:00Z,350,Monday,weekday
0,2012-10-01T00:00:00Z,355,Monday,weekday
0,2012-10-01T00:00:00Z,400,Monday,weekday
0,2012-10-01T00:00:00Z,405,Monday,weekday
0,2012-10-01T00:00:00Z,410,Monday,weekday
0,2012-10-01T00:00:00Z,415,Monday,weekday
0,2012-10-01T00:00:00Z,420,Monday,weekday
0,2012-10-01T00:00:00Z,425,Monday,weekday
0,2012-10-01T00:00:00Z,430,Monday,weekday
0,2012-10-01T00:00:00Z,435,Monday,weekday
0,2012-10-01T00:00:00Z,440,Monday,weekday
0,2012-10-01T00:00:00Z,445,Monday,weekday
0,2012-10-01T00:00:00Z,450,Monday,weekday
0,2012-10-01T00:00:00Z,455,Monday,weekday
0,2012-10-01T00:00:00Z,500,Monday,weekday
0,2012-10-01T00:00:00Z,505,Monday,weekday
0,2012-10-01T00:00:00Z,510,Monday,weekday
0,2012-10-01T00:00:00Z,515,Monday,weekday
0,2012-10-01T00:00:00Z,520,Monday,weekday
0,2012-10-01T00:00:00Z,525,Monday,weekday
0,2012-10-01T00:00:00Z,530,Monday,weekday
0,2012-10-01T00:00:00Z,535,Monday,weekday
0,2012-10-01T00:00:00Z,540,Monday,weekday
0,2012-10-01T00:00:00Z,545,Monday,weekday
0,2012-10-01T00:00:00Z,550,Monday,weekday
0,2012-10-01T00:00:00Z,555,Monday,weekday
0,2012-10-01T00:00:00Z,600,Monday,weekday
0,2012-10-01T00:00:00Z,605,Monday,weekday
0,2012-10-01T00:00:00Z,610,Monday,weekday
0,2012-10-01T00:00:00Z,615,Monday,weekday
0,2012-10-01T00:00:00Z,620,Monday,weekday
0,2012-10-01T00:00:00Z,625,Monday,weekday
0,2012-10-01T00:00:00Z,630,Monday,weekday
0,2012-10-01T00:00:00Z,635,Monday,weekday
0,2012-10-01T00:00:00Z,640,Monday,weekday
0,2012-10-01T00:00:00Z,645,Monday,weekday
0,2012-10-01T00:00:00Z,650,Monday,weekday
0,2012-10-01T00:00:00Z,655,Monday,weekday
0,2012-10-01T00:00:00Z,700,Monday,weekday
0,2012-10-01T00:00:00Z,705,Monday,weekday
0,2012-10-01T00:00:00Z,710,Monday,weekday
0,2012-10-01T00:00:00Z,715,Monday,weekday
0,2012-10-01T00:00:00Z,720,Monday,weekday
0,2012-10-01T00:00:00Z,725,Monday,weekday
0,2012-10-01T00:00:00Z,730,Monday,weekday
0,2012-10-01T00:00:00Z,735,Monday,weekday
0,2012-10-01T00:00:00Z,740,Monday,weekday
0,2012-10-01T00:00:00Z,745,Monday,weekday
0,2012-10-01T00:00:00Z,750,Monday,weekday
0,2012-10-01T00:00:00Z,755,Monday,weekday
0,2012-10-01T00:00:00Z,800,Monday,weekday
0,2012-10-01T00:00:00Z,805,Monday,weekday
0,2012-10-01T00:00:00Z,810,Monday,weekday
0,2012-10-01T00:00:00Z,815,Monday,weekday
0,2012-10-01T00:00:00Z,820,Monday,weekday
0,2012-10-01T00:00:00Z,825,Monday,weekday
0,2012-10-01T00:00:00Z,830,Monday,weekday
0,2012-10-01T00:00:00Z,835,Monday,weekday
0,2012-10-01T00:00:00Z,840,Monday,weekday
0,2012-10-01T00:00:00Z,845,Monday,weekday
0,2012-10-01T00:00:00Z,850,Monday,weekday
0,2012-10-01T00:00:00Z,855,Monday,weekday
0,2012-10-01T00:00:00Z,900,Monday,weekday
0,2012-10-01T00:00:00Z,905,Monday,weekday
0,2012-10-01T00:00:00Z,910,Monday,weekday
0,2012-10-01T00:00:00Z,915,Monday,weekday
0,2012-10-01T00:00:00Z,920,Monday,weekday
0,2012-10-01T00:00:00Z,925,Monday,weekday
0,2012-10-01T00:00:00Z,930,Monday,weekday
0,2012-10-01T00:00:00Z,935,Monday,weekday
0,2012-10-01T00:00:00Z,940,Monday,weekday
0,2012-10-01T00:00:00Z,945,Monday,weekday
0,2012-10-01T00:00:00Z,950,Monday,weekday
0,2012-10-01T00:00:00Z,955,Monday,weekday
0,2012-10-01T00:00:00Z,1000,Monday,weekday
0,2012-10-01T00:00:00Z,1005,Monday,weekday
0,2012-10-01T00:00:00Z,1010,Monday,weekday
0,2012-10-01T00:00:00Z,1015,Monday,weekday
0,2012-10-01T00:00:00Z,1020,Monday,weekday
0,2012-10-01T00:00:00Z,1025,Monday,weekday
0,2012-10-01T00:00:00Z,1030,Monday,weekday
0,2012-10-01T00:00:00Z,1035,Monday,weekday
0,2012-10-01T00:00:00Z,1040,Monday,weekday
0,2012-10-01T00:00:00Z,1045,Monday,weekday
0,2012-10-01T00:00:00Z,1050,Monday,weekday
0,2012-10-01T00:00:00Z,1055,Monday,weekday
0,2012-10-01T00:00:00Z,1100,Monday,weekday
0,2012-10-01T00:00:00Z,1105,Monday,weekday
0,2012-10-01T00:00:00Z,1110,Monday,weekday
0,2012-10-01T00:00:00Z,1115,Monday,weekday
0,2012-10-01T00:00:00Z,1120,Monday,weekday
0,2012-10-01T00:00:00Z,1125,Monday,weekday
0,2012-10-01T00:00:00Z,1130,Monday,weekday
0,2012-10-01T00:00:00Z,1135,Monday,weekday
0,2012-10-01T00:00:00Z,1140,Monday,weekday
0,2012-10-01T00:00:00Z,1145,Monday,weekday
0,2012-10-01T00:00:00Z,1150,Monday,weekday
0,2012-10-01T00:00:00Z,1155,Monday,weekday
0,2012-10-01T00:00:00Z,1200,Monday,weekday
0,2012-10-01T00:00:00Z,1205,Monday,weekday
0,2012-10-01T00:00:00Z,1210,Monday,weekday
0,2012-10-01T00:00:00Z,1215,Monday,weekday
0,2012-10-01T00:00:00Z,1220,Monday,weekday
0,2012-10-01T00:00:00Z,1225,Monday,weekday
0,2012-10-01T00:00:00Z,1230,Monday,weekday
0,2012-10-01T00:00:00Z,1235,Monday,weekday
0,2012-10-01T00:00:00Z,1240,Monday,weekday
0,2012-10-01T00:00:00Z,1245,Monday,weekday
0,2012-10-01T00:00:00Z,1250,Monday,weekday
0,2012-10-01T00:00:00Z,1255,Monday,weekday
0,2012-10-01T00:00:00Z,1300,Monday,weekday
0,2012-10-01T00:00:00Z,1305,Monday,weekday
0,2012-10-01T00:00:00Z,1310,Monday,weekday
0,2012-10-01T00:00:00Z,1315,Monday,weekday
0,2012-10-01T00:00:00Z,1320,Monday,weekday
0,2012-10-01T00:00:00Z,1325,Monday,weekday
0,2012-10-01T00:00:00Z,1330,Monday,weekday
0,2012-10-01T00:00:00Z,1335,Monday,weekday
0,2012-10-01T00:00:00Z,1340,Monday,weekday
0,2012-10-01T00:00:00Z,1345,Monday,weekday
0,2012-10-01T00:00:00Z,1350,Monday,weekday
0,2012-10-01T00:00:00Z,1355,Monday,weekday
0,2012-10-01T00:00:00Z,1400,Monday,weekday
0,2012-10-01T00:00:00Z,1405,Monday,weekday
0,2012-10-01T00:00:00Z,1410,Monday,weekday
0,2012-10-01T00:00:00Z,1415,Monday,weekday
0,2012-10-01T00:00:00Z,1420,Monday,weekday
0,2012-10-01T00:00:00Z,1425,Monday,weekday
0,2012-10-01T00:00:00Z,1430,Monday,weekday
0,2012-10-01T00:00:00Z,1435,Monday,weekday
0,2012-10-01T00:00:00Z,1440,Monday,weekday
0,2012-10-01T00:00:00Z,1445,Monday,weekday
0,2012-10-01T00:00:00Z,1450,Monday,weekday
0,2012-10-01T00:00:00Z,1455,Monday,weekday
0,2012-10-01T00:00:00Z,1500,Monday,weekday
0,2012-10-01T00:00:00Z,1505,Monday,weekday
0,2012-10-01T00:00:00Z,1510,Monday,weekday
0,2012-10-01T00:00:00Z,1515,Monday,weekday
0,2012-10-01T00:00:00Z,1520,Monday,weekday
0,2012-10-01T00:00:00Z,1525,Monday,weekday
0,2012-10-01T00:00:00Z,1530,Monday,weekday
0,2012-10-01T00:00:00Z,1535,Monday,weekday
0,2012-10-01T00:00:00Z,1540,Monday,weekday
0,2012-10-01T00:00:00Z,1545,Monday,weekday
0,2012-10-01T00:00:00Z,1550,Monday,weekday
0,2012-10-01T00:00:00Z,1555,Monday,weekday
0,2012-10-01T00:00:00Z,1600,Monday,weekday
0,2012-10-01T00:00:00Z,1605,Monday,weekday
0,2012-10-01T00:00:00Z,1610,Monday,weekday
0,2012-10-01T00:00:00Z,1615,Monday,weekday
0,2012-10-01T00:00:00Z,1620,Monday,weekday
0,2012-10-01T00:00:00Z,1625,Monday,weekday
0,2012-10-01T00:00:00Z,1630,Monday,weekday
0,2012-10-01T00:00:00Z,1635,Monday,weekday
0,2012-10-01T00:00:00Z,1640,Monday,weekday
0,2012-10-01T00:00:00Z,1645,Monday,weekday
0,2012-10-01T00:00:00Z,1650,Monday,weekday
0,2012-10-01T00:00:00Z,1655,Monday,weekday
0,2012-10-01T00:00:00Z,1700,Monday,weekday
0,2012-10-01T00:00:00Z,1705,Monday,weekday
0,2012-10-01T00:00:00Z,1710,Monday,weekday
0,2012-10-01T00:00:00Z,1715,Monday,weekday
0,2012-10-01T00:00:00Z,1720,Monday,weekday
0,2012-10-01T00:00:00Z,1725,Monday,weekday
0,2012-10-01T00:00:00Z,1730,Monday,weekday
0,2012-10-01T00:00:00Z,1735,Monday,weekday
0,2012-10-01T00:00:00Z,1740,Monday,weekday
0,2012-10-01T00:00:00Z,1745,Monday,weekday
0,2012-10-01T00:00:00Z,1750,Monday,weekday
0,2012-10-01T00:00:00Z,1755,Monday,weekday
0,2012-10-01T00:00:00Z,1800,Monday,weekday
0,2012-10-01T00:00:00Z,1805,Monday,weekday
0,2012-10-01T00:00:00Z,1810,Monday,weekday
0,2012-10-01T00:00:00Z,1815,Monday,weekday
0,2012-10-01T00:00:00Z,1820,Monday,weekday
0,2012-10-01T00:00:00Z,1825,Monday,weekday
0,2012-10-01T00:00:00Z,1830,Monday,weekday
0,2012-10-01T00:00:00Z,1835,Monday,weekday
0,2012-10-01T00:00:00Z,1840,Monday,weekday
0,2012-10-01T00:00:00Z,1845,Monday,weekday
0,2012-10-01T00:00:00Z,1850,Monday,weekday
0,2012-10-01T00:00:00Z,1855,Monday,weekday
0,2012-10-01T00:00:00Z,1900,Monday,weekday
0,2012-10-01T00:00:00Z,1905,Monday,weekday
0,2012-10-01T00:00:00Z,1910,Monday,weekday
0,2012-10-01T00:00:00Z,1915,Monday,weekday
0,2012-10-01T00:00:00Z,1920,Monday,weekday
0,2012-10-01T00:00:00Z,1925,Monday,weekday
0,2012-10-01T00:00:00Z,1930,Monday,weekday
0,2012-10-01T00:00:00Z,1935,Monday,weekday
0,2012-10-01T00:00:00Z,1940,Monday,weekday
0,2012-10-01T00:00:00Z,1945,Monday,weekday
0,2012-10-01T00:00:00Z,1950,Monday,weekday
0,2012-10-01T00:00:00Z,1955,Monday,weekday
0,2012-10-01T00:00:00Z,2000,Monday,weekday
0,2012-10-01T00:00:00Z,2005,Monday,weekday
0,2012-10-01T00:00:00Z,2010,Monday,weekday
0,2012-10-01T00:00:00Z,2015,Monday,weekday
0,2012-10-01T00:00:00Z,2020,Monday,weekday
0,2012-10-01T00:00:00Z,2025,Monday,weekday
0,2012-10-01T00:00:00Z,2030,Monday,weekday
0,2012-10-01T00:00:00Z,2035,Monday,weekday
0,2012-10-01T00:00:00Z,2040,Monday,weekday
0,2012-10-01T00:00:00Z,2045,Monday,weekday
0,2012-10-01T00:00:00Z,2050,Monday,weekday
0,2012-10-01T00:00:00Z,2055,Monday,weekday
0,2012-10-01T00:00:00Z,2100,Monday,weekday
0,2012-10-01T00:00:00Z,2105,Monday,weekday
0,2012-10-01T00:00:00Z,2110,Monday,weekday
0,2012-10-01T00:00:00Z,2115,Monday,weekday
0,2012-10-01T00:00:00Z,2120,Monday,weekday
0,2012-10-01T00:00:00Z,2125,Monday,weekday
0,2012-10-01T00:00:00Z,2130,Monday,weekday
0,2012-10-01T00:00:00Z,2135,Monday,weekday
0,2012-10-01T00:00:00Z,2140,Monday,weekday
0,2012-10-01T00:00:00Z,2145,Monday,weekday
0,2012-10-01T00:00:00Z,2150,Monday,weekday
0,2012-10-01T00:00:00Z,2155,Monday,weekday
0,2012-10-01T00:00:00Z,2200,Monday,weekday
0,2012-10-01T00:00:00Z,2205,Monday,weekday
0,2012-10-01T00:00:00Z,2210,Monday,weekday
0,2012-10-01T00:00:00Z,2215,Monday,weekday
0,2012-10-01T00:00:00Z,2220,Monday,weekday
0,2012-10-01T00:00:00Z,2225,Monday,weekday
0,2012-10-01T00:00:00Z,2230,Monday,weekday
0,2012-10-01T00:00:00Z,2235,Monday,weekday
0,2012-10-01T00:00:00Z,2240,Monday,weekday
0,2012-10-01T00:00:00Z,2245,Monday,weekday
0,2012-10-01T00:00:00Z,2250,Monday,weekday
0,2012-10-01T00:00:00Z,2255,Monday,weekday
0,2012-10-01T00:00:00Z,2300,Monday,weekday
0,2012-10-01T00:00:00Z,2305,Monday,weekday
0,2012-10-01T00:00:00Z,2310,Monday,weekday
0,2012-10-01T00:00:00Z,2315,Monday,weekday
0,2012-10-01T00:00:00Z,2320,Monday,weekday
0,2012-10-01T00:00:00Z,2325,Monday,weekday
0,2012-10-01T00:00:00Z,2330,Monday,weekday
0,2012-10-01T00:00:00Z,2335,Monday,weekday
0,2012-10-01T00:00:00Z,2340,Monday,weekday
0,2012-10-01T00:00:00Z,2345,Monday,weekday
0,2012-10-01T00:00:00Z,2350,Monday,weekday
0,2012-10-01T00:00:00Z,2355,Monday,weekday
0,2012-10-02T00:00:00Z,0,Tuesday,weekday
0,2012-10-02T00:00:00Z,5,Tuesday,weekday
0,2012-10-02T00:00:00Z,10,Tuesday,weekday
0,2012-10-02T00:00:00Z,15,Tuesday,weekday
0,2012-10-02T00:00:00Z,20,Tuesday,weekday
0,2012-10-02T00:00:00Z,25,Tuesday,weekday
0,2012-10-02T00:00:00Z,30,Tuesday,weekday
0,2012-10-02T00:00:00Z,35,Tuesday,weekday
0,2012-10-02T00:00:00Z,40,Tuesday,weekday
0,2012-10-02T00:00:00Z,45,Tuesday,weekday
0,2012-10-02T00:00:00Z,50,Tuesday,weekday
0,2012-10-02T00:00:00Z,55,Tuesday,weekday
0,2012-10-02T00:00:00Z,100,Tuesday,weekday
0,2012-10-02T00:00:00Z,105,Tuesday,weekday
0,2012-10-02T00:00:00Z,110,Tuesday,weekday
0,2012-10-02T00:00:00Z,115,Tuesday,weekday
0,2012-10-02T00:00:00Z,120,Tuesday,weekday
0,2012-10-02T00:00:00Z,125,Tuesday,weekday
0,2012-10-02T00:00:00Z,130,Tuesday,weekday
0,2012-10-02T00:00:00Z,135,Tuesday,weekday
0,2012-10-02T00:00:00Z,140,Tuesday,weekday
0,2012-10-02T00:00:00Z,145,Tuesday,weekday
0,2012-10-02T00:00:00Z,150,Tuesday,weekday
0,2012-10-02T00:00:00Z,155,Tuesday,weekday
0,2012-10-02T00:00:00Z,200,Tuesday,weekday
0,2012-10-02T00:00:00Z,205,Tuesday,weekday
0,2012-10-02T00:00:00Z,210,Tuesday,weekday
0,2012-10-02T00:00:00Z,215,Tuesday,weekday
0,2012-10-02T00:00:00Z,220,Tuesday,weekday
0,2012-10-02T00:00:00Z,225,Tuesday,weekday
0,2012-10-02T00:00:00Z,230,Tuesday,weekday
0,2012-10-02T00:00:00Z,235,Tuesday,weekday
0,2012-10-02T00:00:00Z,240,Tuesday,weekday
0,2012-10-02T00:00:00Z,245,Tuesday,weekday
0,2012-10-02T00:00:00Z,250,Tuesday,weekday
0,2012-10-02T00:00:00Z,255,Tuesday,weekday
0,2012-10-02T00:00:00Z,300,Tuesday,weekday
0,2012-10-02T00:00:00Z,305,Tuesday,weekday
0,2012-10-02T00:00:00Z,310,Tuesday,weekday
0,2012-10-02T00:00:00Z,315,Tuesday,weekday
0,2012-10-02T00:00:00Z,320,Tuesday,weekday
0,2012-10-02T00:00:00Z,325,Tuesday,weekday
0,2012-10-02T00:00:00Z,330,Tuesday,weekday
0,2012-10-02T00:00:00Z,335,Tuesday,weekday
0,2012-10-02T00:00:00Z,340,Tuesday,weekday
0,2012-10-02T00:00:00Z,345,Tuesday,weekday
0,2012-10-02T00:00:00Z,350,Tuesday,weekday
0,2012-10-02T00:00:00Z,355,Tuesday,weekday
0,2012-10-02T00:00:00Z,400,Tuesday,weekday
0,2012-10-02T00:00:00Z,405,Tuesday,weekday
0,2012-10-02T00:00:00Z,410,Tuesday,weekday
0,2012-10-02T00:00:00Z,415,Tuesday,weekday
0,2012-10-02T00:00:00Z,420,Tuesday,weekday
0,2012-10-02T00:00:00Z,425,Tuesday,weekday
0,2012-10-02T00:00:00Z,430,Tuesday,weekday
0,2012-10-02T00:00:00Z,435,Tuesday,weekday
0,2012-10-02T00:00:00Z,440,Tuesday,weekday
0,2012-10-02T00:00:00Z,445,Tuesday,weekday
0,2012-10-02T00:00:00Z,450,Tuesday,weekday
0,2012-10-02T00:00:00Z,455,Tuesday,weekday
0,2012-10-02T00:00:00Z,500,Tuesday,weekday
0,2012-10-02T00:00:00Z,505,Tuesday,weekday
0,2012-10-02T00:00:00Z,510,Tuesday,weekday
0,2012-10-02T00:00:00Z,515,Tuesday,weekday
0,2012-10-02T00:00:00Z,520,Tuesday,weekday
0,2012-10-02T00:00:00Z,525,Tuesday,weekday
0,2012-10-02T00:00:00Z,530,Tuesday,weekday
0,2012-10-02T00:00:00Z,535,Tuesday,weekday
0,2012-10-02T00:00:00Z,540,Tuesday,weekday
0,2012-10-02T00:00:00Z,545,Tuesday,weekday
0,2012-10-02T00:00:00Z,550,Tuesday,weekday
0,2012-10-02T00:00:00Z,555,Tuesday,weekday
0,2012-10-02T00:00:00Z,600,Tuesday,weekday
0,2012-10-02T00:00:00Z,605,Tuesday,weekday
0,2012-10-02T00:00:00Z,610,Tuesday,weekday
0,2012-10-02T00:00:00Z,615,Tuesday,weekday
0,2012-10-02T00:00:00Z,620,Tuesday,weekday
0,2012-10-02T00:00:00Z,625,Tuesday,weekday
0,2012-10-02T00:00:00Z,630,Tuesday,weekday
0,2012-10-02T00:00:00Z,635,Tuesday,weekday
0,2012-10-02T00:00:00Z,640,Tuesday,weekday
0,2012-10-02T00:00:00Z,645,Tuesday,weekday
0,2012-10-02T00:00:00Z,650,Tuesday,weekday
0,2012-10-02T00:00:00Z,655,Tuesday,weekday
0,2012-10-02T00:00:00Z,700,Tuesday,weekday
0,2012-10-02T00:00:00Z,705,Tuesday,weekday
0,2012-10-02T00:00:00Z,710,Tuesday,weekday
0,2012-10-02T00:00:00Z,715,Tuesday,weekday
0,2012-10-02T00:00:00Z,720,Tuesday,weekday
0,2012-10-02T00:00:00Z,725,Tuesday,weekday
0,2012-10-02T00:00:00Z,730,Tuesday,weekday
0,2012-10-02T00:00:00Z,735,Tuesday,weekday
0,2012-10-02T00:00:00Z,740,Tuesday,weekday
0,2012-10-02T00:00:00Z,745,Tuesday,weekday
0,2012-10-02T00:00:00Z,750,Tuesday,weekday
0,2012-10-02T00:00:00Z,755,Tuesday,weekday
0,2012-10-02T00:00:00Z,800,Tuesday,weekday
0,2012-10-02T00:00:00Z,805,Tuesday,weekday
0,2012-10-02T00:00:00Z,810,Tuesday,weekday
0,2012-10-02T00:00:00Z,815,Tuesday,weekday
0,2012-10-02T00:00:00Z,820,Tuesday,weekday
0,2012-10-02T00:00:00Z,825,Tuesday,weekday
0,2012-10-02T00:00:00Z,830,Tuesday,weekday
0,2012-10-02T00:00:00Z,835,Tuesday,weekday
0,2012-10-02T00:00:00Z,840,Tuesday,weekday
0,2012-10-02T00:00:00Z,845,Tuesday,weekday
0,2012-10-02T00:00:00Z,850,Tuesday,weekday
0,2012-10-02T00:00:00Z,855,Tuesday,weekday
0,2012-10-02T00:00:00Z,900,Tuesday,weekday
0,2012-10-02T00:00:00Z,905,Tuesday,weekday
0,2012-10-02T00:00:00Z,910,Tuesday,weekday
0,2012-10-02T00:00:00Z,915,Tuesday,weekday
0,2012-10-02T00:00:00Z,920,Tuesday,weekday
0,2012-10-02T00:00:00Z,925,Tuesday,weekday
0,2012-10-02T00:00:00Z,930,Tuesday,weekday
0,2012-10-02T00:00:00Z,935,Tuesday,weekday
0,2012-10-02T00:00:00Z,940,Tuesday,weekday
0,2012-10-02T00:00:00Z,945,Tuesday,weekday
0,2012-10-02T00:00:00Z,950,Tuesday,weekday
0,2012-10-02T00:00:00Z,955,Tuesday,weekday
0,2012-10-02T00:00:00Z,1000,Tuesday,weekday
0,2012-10-02T00:00:00Z,1005,Tuesday,weekday
0,2012-10-02T00:00:00Z,1010,Tuesday,weekday
0,2012-10-02T00:00:00Z,1015,Tuesday,weekday
0,2012-10-02T00:00:00Z,1020,Tuesday,weekday
0,2012-10-02T00:00:00Z,1025,Tuesday,weekday
0,2012-10-02T00:00:00Z,1030,Tuesday,weekday
0,2012-10-02T00:00:00Z,1035,Tuesday,weekday
0,2012-10-02T00:00:00Z,1040,Tuesday,weekday
0,2012-10-02T00:00:00Z,1045,Tuesday,weekday
0,2012-10-02T00:00:00Z,1050,Tuesday,weekday
0,2012-10-02T00:00:00Z,1055,Tuesday,weekday
0,2012-10-02T00:00:00Z,1100,Tuesday,weekday
0,2012-10-02T00:00:00Z,1105,Tuesday,weekday
0,2012-10-02T00:00:00Z,1110,Tuesday,weekday
0,2012-10-02T00:00:00Z,1115,Tuesday,weekday
0,2012-10-02T00:00:00Z,1120,Tuesday,weekday
0,2012-10-02T00:00:00Z,1125,Tuesday,weekday
0,2012-10-02T00:00:00Z,1130,Tuesday,weekday
0,2012-10-02T00:00:00Z,1135,Tuesday,weekday
0,2012-10-02T00:00:00Z,1140,Tuesday,weekday
0,2012-10-02T00:00:00Z,1145,Tuesday,weekday
0,2012-10-02T00:00:00Z,1150,Tuesday,weekday
0,2012-10-02T00:00:00Z,1155,Tuesday,weekday
0,2012-10-02T00:00:00Z,1200,Tuesday,weekday
0,2012-10-02T00:00:00Z,1205,Tuesday,weekday
0,2012-10-02T00:00:00Z,1210,Tuesday,weekday
0,2012-10-02T00:00:00Z,1215,Tuesday,weekday
0,2012-10-02T00:00:00Z,1220,Tuesday,weekday
0,2012-10-02T00:00:00Z,1225,Tuesday,weekday
0,2012-10-02T00:00:00Z,1230,Tuesday,weekday
0,2012-10-02T00:00:00Z,1235,Tuesday,weekday
0,2012-10-02T00:00:00Z,1240,Tuesday,weekday
0,2012-10-02T00:00:00Z,1245,Tuesday,weekday
0,2012-10-02T00:00:00Z,1250,Tuesday,weekday
0,2012-10-02T00:00:00Z,1255,Tuesday,weekday
0,2012-10-02T00:00:00Z,1300,Tuesday,weekday
0,2012-10-02T00:00:00Z,1305,Tuesday,weekday
0,2012-10-02T00:00:00Z,1310,Tuesday,weekday
0,2012-10-02T00:00:00Z,1315,Tuesday,weekday
0,2012-10-02T00:00:00Z,1320,Tuesday,weekday
0,2012-10-02T00:00:00Z,1325,Tuesday,weekday
0,2012-10-02T00:00:00Z,1330,Tuesday,weekday
0,2012-10-02T00:00:00Z,1335,Tuesday,weekday
0,2012-10-02T00:00:00Z,1340,Tuesday,weekday
0,2012-10-02T00:00:00Z,1345,Tuesday,weekday
0,2012-10-02T00:00:00Z,1350,Tuesday,weekday
0,2012-10-02T00:00:00Z,1355,Tuesday,weekday
0,2012-10-02T00:00:00Z,1400,Tuesday,weekday
0,2012-10-02T00:00:00Z,1405,Tuesday,weekday
0,2012-10-02T00:00:00Z,1410,Tuesday,weekday
0,2012-10-02T00:00:00Z,1415,Tuesday,weekday
0,2012-10-02T00:00:00Z,1420,Tuesday,weekday
0,2012-10-02T00:00:00Z,1425,Tuesday,weekday
0,2012-10-02T00:00:00Z,1430,Tuesday,weekday
0,2012-10-02T00:00:00Z,1435,Tuesday,weekday
0,2012-10-02T00:00:00Z,1440,Tuesday,weekday
0,2012-10-02T00:00:00Z,1445,Tuesday,weekday
0,2012-10-02T00:00:00Z,1450,Tuesday,weekday
0,2012-10-02T00:00:00Z,1455,Tuesday,weekday
0,2012-10-02T00:00:00Z,1500,Tuesday,weekday
0,2012-10-02T00:00:00Z,1505,Tuesday,weekday
0,2012-10-02T00:00:00Z,1510,Tuesday,weekday
0,2012-10-02T00:00:00Z,1515,Tuesday,weekday
0,2012-10-02T00:00:00Z,1520,Tuesday,weekday
0,2012-10-02T00:00:00Z,1525,Tuesday,weekday
0,2012-10-02T00:00:00Z,1530,Tuesday,weekday
0,2012-10-02T00:00:00Z,1535,Tuesday,weekday
0,2012-10-02T00:00:00Z,1540,Tuesday,weekday
0,2012-10-02T00:00:00Z,1545,Tuesday,weekday
0,2012-10-02T00:00:00Z,1550,Tuesday,weekday
0,2012-10-02T00:00:00Z,1555,Tuesday,weekday
0,2012-10-02T00:00:00Z,1600,Tuesday,weekday
0,2012-10-02T00:00:00Z,1605,Tuesday,weekday
0,2012-10-02T00:00:00Z,1610,Tuesday,weekday
0,2012-10-02T00:00:00Z,1615,Tuesday,weekday
0,2012-10-02T00:00:00Z,1620,Tuesday,weekday
0,2012-10-02T00:00:00Z,1625,Tuesday,weekday
0,2012-10-02T00:00:00Z,1630,Tuesday,weekday
0,2012-10-02T00:00:00Z,1635,Tuesday,weekday
0,2012-10-02T00:00:00Z,1640,Tuesday,weekday
0,2012-10-02T00:00:00Z,1645,Tuesday,weekday
0,2012-10-02T00:00:00Z,1650,Tuesday,weekday
0,2012-10-02T00:00:00Z,1655,Tuesday,weekday
